period_days,duration_hours,depth_ppm,planet_radius_re,snr,impact,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag,fp_nt,fp_ss,fp_co,fp_ec
2.42186898,6.22,,,,,,,,13.583,0,0,0,0
10.00506974,3.481,143.3,1.11,11.4,0.148,5912.0,4.453,0.924,14.634,0,0,0,0
8.689301216,2.563,1117.0,2.92,70.9,0.029,5211.0,4.447,0.895,14.548,0,0,0,0
22.84156293,2.5997,2940.7,30.0,47.6,1.267,5381.0,4.538,0.826,15.911,0,1,0,0
1.890227354,3.855,112260.0,42.05,252.0,0.957,5356.0,4.589,0.78,15.569,0,1,0,0
1.569066598,2.7803,147.2,1.68,48.7,0.097,5821.0,4.172,1.395,13.93,0,0,0,0
8.07127043,2.393,318.2,1.53,16.9,0.271,5766.0,4.517,0.853,15.553,0,0,0,0
23.355341391,4.60672,38524.0,21.55,1144.3,0.842,5754.0,4.534,0.905,15.278,0,1,0,0
0.950735805,1.1434,175.1,1.39,17.1,0.57,6039.0,4.478,1.005,15.156,0,0,1,0
19.4444573,5.509,182.3,1.53,7.1,0.634,6278.0,4.425,1.081,15.835,1,0,0,0
2.40435325,6.825,349.6,24.16,23.3,1.202,5780.0,4.438,1.0,10.63,0,1,0,1
25.9136674,10.498,109.7,3.37,16.1,0.982,6167.0,3.804,2.346,12.556,0,0,0,0
3.797018259,2.2608,14431.0,10.07,1549.0,0.321,5167.0,4.527,0.848,14.741,0,0,0,0
75.906736,11.64,26.9,0.63,9.2,0.0506,6140.0,4.248,1.206,11.649,0,0,0,0
8.268081087,3.47103,71479.0,50.31,1320.5,1.099,5749.0,4.502,0.922,15.768,0,1,0,0
59.4037839,10.041,123.5,1.65,17.0,0.94,6373.0,4.256,1.209,11.679,0,0,0,0
1.302061421,1.8238,1046.1,92.86,29.5,1.273,7757.0,3.837,2.783,13.095,1,0,1,0
4.5620407,2.8521,81.6,2.82,22.8,0.925,5343.0,3.764,2.506,13.052,0,0,0,0
63.095068,9.485,496.8,11.67,11.4,1.05,6622.0,4.331,1.325,15.765,0,0,0,0
2.44358543,1.852,59.1,0.67,11.9,0.258,5561.0,4.486,0.873,13.348,0,0,0,0
225.585245,11.166,754.9,3.71,18.6,0.066,5929.0,4.243,1.363,14.9,0,0,0,0
0.93374635,3.074,34.3,0.63,7.3,0.096,5593.0,4.349,1.094,14.901,0,0,1,1
19.515013291,4.59379,256440.0,53.03,1018.8,0.692,5349.0,4.531,0.851,16.739,0,1,0,0
6.66833241,1.915,362.3,1.18,14.2,0.644,4201.0,4.682,0.591,15.058,0,0,0,0
0.817026268,2.0799,1145.5,2.92,121.1,0.01,5619.0,4.536,0.874,15.488,0,0,1,1
91.649983,10.294,193.6,2.27,8.7,0.2136,6705.0,4.145,1.608,12.964,0,0,0,0
0.866344816,1.9188,233.6,6.85,46.5,0.318,4936.0,3.055,4.527,12.945,1,0,1,1
219.3215562,12.4124,3628.7,6.11,93.8,0.244,6063.0,4.476,1.012,15.273,0,0,0,0
8.95294046,2.995,44.0,0.86,13.0,0.718,6047.0,4.266,1.207,11.458,0,0,0,0
6.63448023,3.603,71.2,1.04,10.3,0.116,6463.0,4.313,1.225,13.805,0,0,0,0
128.208643,2.745,212.2,6.15,8.9,0.811,7128.0,3.52,3.811,11.036,0,0,0,0
0.933728755,4.363,13.5,0.72,17.9,0.645,6652.0,4.036,1.863,10.959,0,0,1,1
2.645596805,2.9095,1272.7,167.05,166.8,1.239,4980.0,3.167,5.443,12.375,0,1,1,0
173.219879,1.875,239.5,2.41,5.7,0.5113,6007.0,4.158,1.518,13.957,0,0,0,0
73.4567573,2.74,,,,,,,,11.538,0,0,0,0
10.63624422,5.055,231.7,1.58,24.7,0.978,5834.0,4.591,0.774,14.433,0,1,1,1
502.25648,14.84,153.2,1.03,8.1,0.05,5637.0,4.46,0.833,13.339,0,0,0,0
399.37587,21.25,552.2,3.93,11.9,0.556,6098.0,4.069,1.618,13.281,0,0,0,0
5.433132902,2.4012,328.2,1.61,33.1,0.72,4963.0,4.501,0.826,14.55,0,0,0,0
82.331756,8.664,283.2,2.08,11.9,0.027,5997.0,4.304,1.242,14.872,0,0,0,0
12.18420006,2.5014,499.3,2.59,23.3,0.746,5771.0,4.374,1.068,13.982,0,0,0,0
8.38395796,5.2,108.5,3.24,14.1,0.892,5405.0,3.741,2.605,14.667,0,0,0,0
4.030466786,2.7734,2908.3,4.48,227.4,0.033,5234.0,4.542,0.854,14.924,0,0,0,0
23.08902241,1.7012,598.3,1.24,57.4,0.32,3846.0,4.738,0.503,12.925,0,0,0,0
1.41435861,2.285,56.8,0.74,9.5,0.189,5470.0,4.366,0.994,14.842,0,0,1,0
1.442592305,2.9698,166.0,2.67,27.1,0.207,7216.0,3.983,2.043,11.558,0,0,0,0
31.2543238,5.662,438.0,2.29,14.7,0.019,6246.0,4.433,1.092,15.82,0,0,0,0
13.118962443,4.3045,372.2,8.25,267.4,0.042,7221.0,3.488,4.24,9.275,0,0,0,0
0.764597756,1.119,16.6,0.72,12.0,0.345,6218.0,4.066,1.726,11.215,0,0,1,0
0.566799395,1.5368,231.2,1.65,33.7,0.042,6322.0,4.426,1.075,15.557,0,0,1,1
3.55646511,4.72,46.1,0.56,7.8,0.344,5475.0,4.479,0.818,14.609,0,0,0,1
14.6672293,3.742,198.1,1.21,30.5,0.596,5677.0,4.563,0.828,13.58,0,0,0,0
9.93962361,3.432,300.1,1.93,21.5,0.934,5105.0,4.469,0.868,14.808,0,0,0,0
8.23983041,5.619,251.0,2.35,29.4,0.012,5794.0,4.118,1.496,15.024,0,0,0,0
559.785594,3.496,274.8,1.88,7.3,0.411,6201.0,4.352,1.111,13.295,0,0,0,0
38.2292037,3.893,605.8,1.51,21.0,0.571,4544.0,4.656,0.598,14.847,0,0,0,0
606.91488768,5.96,,,,,,,,13.532,1,0,0,0
90.4117992,7.106,1265.0,3.96,35.4,0.849,6004.0,4.484,0.977,14.957,0,0,0,0
13.33094869,1.426,725.6,25.95,17.1,1.199,5991.0,4.394,1.039,14.847,0,0,0,0
4.994773558,4.48893,259760.0,62.69,5742.0,0.416,6253.0,4.271,1.181,13.038,0,1,0,0
40.5289885,10.604,360.7,5.92,35.3,0.325,6443.0,3.74,3.086,13.913,0,0,0,0
1.99469354,5.297,75.1,0.46,8.9,0.643,3799.0,4.738,0.51,15.846,0,0,0,0
20.49041,4.369,661.8,2.34,23.3,0.011,5681.0,4.524,0.923,15.93,0,0,0,0
20.55848388,1.449,677.3,36.9,20.8,1.334,5578.0,4.484,0.936,14.792,0,1,0,0
34.82008158,11.1711,18848.0,11.36,882.6,0.663,5114.0,4.522,0.784,15.187,0,1,0,0
7.44136102,4.554,79.7,1.33,14.2,0.862,5937.0,4.251,1.291,13.701,0,0,0,0
10.81589054,4.73495,45400.0,32.48,4313.4,0.219,6269.0,4.109,1.508,12.96,0,1,0,0
1.634614356,3.4422,19762.0,44.22,376.5,1.229,6121.0,4.468,0.97,15.31,0,1,0,0
1.018360336,7.622,393970.0,107.0,967.4,0.553,6160.0,4.144,1.463,14.299,0,1,0,0
16.145671932,3.7236,941.1,2.48,242.7,0.75,4900.0,4.602,0.741,11.492,0,0,0,0
302.38867822,3.1229,41320.0,40.73,294.8,1.134,5328.0,4.499,0.857,14.041,0,1,0,0
